Postleitzahl;Name;Landkreis
33181;Bad Wünnenberg;Landkreis Paderborn
33184;Altenbeken;Landkreis Paderborn
33189;Schlangen;Landkreis Lippe
33330;Gütersloh;Landkreis Gütersloh
33332;Gütersloh;Landkreis Gütersloh
33333;Gütersloh;Landkreis Gütersloh
33334;Gütersloh;Landkreis Gütersloh
33335;Gütersloh;Landkreis Gütersloh
33378;Rheda-Wiedenbrück;Landkreis Gütersloh
33397;Rietberg;Landkreis Gütersloh
33415;Verl;Landkreis Gütersloh
33428;Harsewinkel;Landkreis Gütersloh
33442;Herzebrock-Clarholz;Landkreis Gütersloh
33449;Langenberg;Landkreis Gütersloh
33602;Bielefeld;Bielefeld
33604;Bielefeld;Bielefeld
33605;Bielefeld;Bielefeld
33607;Bielefeld;Bielefeld
33609;Bielefeld;Bielefeld
33611;Bielefeld;Bielefeld
33613;Bielefeld;Bielefeld
33615;Bielefeld;Bielefeld
33617;Bielefeld;Bielefeld
33619;Bielefeld;Bielefeld
33647;Bielefeld;Bielefeld
33649;Bielefeld;Bielefeld
33659;Bielefeld;Bielefeld
33689;Bielefeld;Bielefeld
33699;Bielefeld;Bielefeld
33719;Bielefeld;Bielefeld
33729;Bielefeld;Bielefeld
33739;Bielefeld;Bielefeld
33758;Schloß Holte-Stukenbrock;Landkreis Gütersloh
33775;Versmold;Landkreis Gütersloh
33790;Halle (Westf.);Landkreis Gütersloh
33803;Steinhagen;Landkreis Gütersloh
33813;Oerlinghausen;Landkreis Lippe
33818;Leopoldshöhe;Landkreis Lippe
33824;Werther (Westf.);Landkreis Gütersloh
33829;Borgholzhausen;Landkreis Gütersloh
34414;Warburg;Landkreis Höxter
34431;Marsberg;Landkreis Hochsauerlandkreis
34434;Borgentreich;Landkreis Höxter
34439;Willebadessen;Landkreis Höxter
37671;Höxter;Landkreis Höxter
37688;Beverungen;Landkreis Höxter
37696;Marienmünster;Landkreis Höxter
40210;Düsseldorf;Düsseldorf
40211;Düsseldorf;Düsseldorf
40212;Düsseldorf;Düsseldorf
40213;Düsseldorf;Düsseldorf
40215;Düsseldorf;Düsseldorf
40217;Düsseldorf;Düsseldorf
40219;Düsseldorf;Düsseldorf
40221;Düsseldorf;Düsseldorf
40223;Düsseldorf;Düsseldorf
40225;Düsseldorf;Düsseldorf
40227;Düsseldorf;Düsseldorf
40229;Düsseldorf;Düsseldorf
40231;Düsseldorf;Düsseldorf
40233;Düsseldorf;Düsseldorf
40235;Düsseldorf;Düsseldorf
40237;Düsseldorf;Düsseldorf
40239;Düsseldorf;Düsseldorf
40468;Düsseldorf;Düsseldorf
40470;Düsseldorf;Düsseldorf
40472;Düsseldorf;Düsseldorf
40474;Düsseldorf;Düsseldorf
40476;Düsseldorf;Düsseldorf
40477;Düsseldorf;Düsseldorf
40479;Düsseldorf;Düsseldorf
40489;Düsseldorf;Düsseldorf
40545;Düsseldorf;Düsseldorf
40547;Düsseldorf;Düsseldorf
40549;Düsseldorf;Düsseldorf
40589;Düsseldorf;Düsseldorf
40591;Düsseldorf;Düsseldorf
40593;Düsseldorf;Düsseldorf
40595;Düsseldorf;Düsseldorf
40597;Düsseldorf;Düsseldorf
40599;Düsseldorf;Düsseldorf
40625;Düsseldorf;Düsseldorf
40627;Düsseldorf;Düsseldorf
40629;Düsseldorf;Düsseldorf
40667;Meerbusch;Landkreis Rhein-Kreis Neuss
40668;Meerbusch;Landkreis Rhein-Kreis Neuss
40670;Meerbusch;Landkreis Rhein-Kreis Neuss
40699;Erkrath;Landkreis Mettmann
40721;Hilden;Landkreis Mettmann
40723;Hilden;Landkreis Mettmann
40724;Hilden;Landkreis Mettmann
40764;Langenfeld (Rheinland);Landkreis Mettmann
40789;Monheim am Rhein;Landkreis Mettmann
40822;Mettmann;Landkreis Mettmann
40878;Ratingen;Landkreis Mettmann
40880;Ratingen;Landkreis Mettmann
40882;Ratingen;Landkreis Mettmann
40883;Ratingen;Landkreis Mettmann
40885;Ratingen;Landkreis Mettmann
41061;Mönchengladbach;Mönchengladbach
41063;Mönchengladbach;Mönchengladbach
41065;Mönchengladbach;Mönchengladbach
41066;Mönchengladbach;Mönchengladbach
41068;Mönchengladbach;Mönchengladbach
41069;Mönchengladbach;Mönchengladbach
41169;Mönchengladbach;Mönchengladbach
41179;Mönchengladbach;Mönchengladbach
41189;Mönchengladbach;Mönchengladbach
41199;Mönchengladbach;Mönchengladbach
41236;Mönchengladbach;Mönchengladbach
41238;Mönchengladbach;Mönchengladbach
41239;Mönchengladbach;Mönchengladbach
41334;Nettetal;Landkreis Viersen
41352;Korschenbroich;Landkreis Rhein-Kreis Neuss
41363;Jüchen;Landkreis Rhein-Kreis Neuss
41366;Schwalmtal;Landkreis Viersen
41372;Niederkrüchten;Landkreis Viersen
41379;Brüggen;Landkreis Viersen
41460;Neuss;Landkreis Rhein-Kreis Neuss
41462;Neuss;Landkreis Rhein-Kreis Neuss
41464;Neuss;Landkreis Rhein-Kreis Neuss
41466;Neuss;Landkreis Rhein-Kreis Neuss
41468;Neuss;Landkreis Rhein-Kreis Neuss
41469;Neuss;Landkreis Rhein-Kreis Neuss
41470;Neuss;Landkreis Rhein-Kreis Neuss
41472;Neuss;Landkreis Rhein-Kreis Neuss
41515;Grevenbroich;Landkreis Rhein-Kreis Neuss
41516;Grevenbroich;Landkreis Rhein-Kreis Neuss
41517;Grevenbroich;Landkreis Rhein-Kreis Neuss
41539;Dormagen;Landkreis Rhein-Kreis Neuss
41540;Dormagen;Landkreis Rhein-Kreis Neuss
41541;Dormagen;Landkreis Rhein-Kreis Neuss
41542;Dormagen;Landkreis Rhein-Kreis Neuss
41564;Kaarst;Landkreis Rhein-Kreis Neuss
41569;Rommerskirchen;Landkreis Rhein-Kreis Neuss
41747;Viersen;Landkreis Viersen
41748;Viersen;Landkreis Viersen
41749;Viersen;Landkreis Viersen
41751;Viersen;Landkreis Viersen
41812;Erkelenz;Landkreis Heinsberg
41836;Hückelhoven;Landkreis Heinsberg
41844;Wegberg;Landkreis Heinsberg
41849;Wassenberg;Landkreis Heinsberg
42103;Wuppertal;Wuppertal
42105;Wuppertal;Wuppertal
42107;Wuppertal;Wuppertal
42109;Wuppertal;Wuppertal
42111;Wuppertal;Wuppertal
42113;Wuppertal;Wuppertal
42115;Wuppertal;Wuppertal
42117;Wuppertal;Wuppertal
42119;Wuppertal;Wuppertal
42275;Wuppertal;Wuppertal
42277;Wuppertal;Wuppertal
42279;Wuppertal;Wuppertal
42281;Wuppertal;Wuppertal
42283;Wuppertal;Wuppertal
42285;Wuppertal;Wuppertal
42287;Wuppertal;Wuppertal
42289;Wuppertal;Wuppertal
42327;Wuppertal;Wuppertal
42329;Wuppertal;Wuppertal
42349;Wuppertal;Wuppertal
42369;Wuppertal;Wuppertal
42389;Wuppertal;Wuppertal
42399;Wuppertal;Wuppertal
42477;Radevormwald;Landkreis Oberbergischer Kreis
42489;Wülfrath;Landkreis Mettmann
42499;Hückeswagen;Landkreis Oberbergischer Kreis
42549;Velbert;Landkreis Mettmann
42551;Velbert;Landkreis Mettmann
42553;Velbert;Landkreis Mettmann
42555;Velbert;Landkreis Mettmann
42579;Heiligenhaus;Landkreis Mettmann
42651;Solingen;Solingen
42653;Solingen;Solingen
42655;Solingen;Solingen
42657;Solingen;Solingen
42659;Solingen;Solingen
42697;Solingen;Solingen
42699;Solingen;Solingen
42719;Solingen;Solingen
42781;Haan;Landkreis Mettmann
42799;Leichlingen (Rheinland);Landkreis Rheinisch-Bergischer Kreis
42853;Remscheid;Remscheid
42855;Remscheid;Remscheid
42857;Remscheid;Remscheid
42859;Remscheid;Remscheid
42897;Remscheid;Remscheid
42899;Remscheid;Remscheid
42929;Wermelskirchen;Landkreis Rheinisch-Bergischer Kreis
44135;Dortmund;Dortmund
44137;Dortmund;Dortmund
44139;Dortmund;Dortmund
44141;Dortmund;Dortmund
44143;Dortmund;Dortmund
44145;Dortmund;Dortmund
44147;Dortmund;Dortmund
44149;Dortmund;Dortmund
44225;Dortmund;Dortmund
44227;Dortmund;Dortmund
44229;Dortmund;Dortmund
44263;Dortmund;Dortmund
44265;Dortmund;Dortmund
44267;Dortmund;Dortmund
44269;Dortmund;Dortmund
44287;Dortmund;Dortmund
44289;Dortmund;Dortmund
44309;Dortmund;Dortmund
44319;Dortmund;Dortmund
44328;Dortmund;Dortmund
44329;Dortmund;Dortmund
44339;Dortmund;Dortmund
44357;Dortmund;Dortmund
44359;Dortmund;Dortmund
44369;Dortmund;Dortmund
44379;Dortmund;Dortmund
44388;Dortmund;Dortmund
44532;Lünen;Landkreis Unna
44534;Lünen;Landkreis Unna
44536;Lünen;Landkreis Unna
44575;Castrop-Rauxel;Landkreis Recklinghausen
44577;Castrop-Rauxel;Landkreis Recklinghausen
44579;Castrop-Rauxel;Landkreis Recklinghausen
44581;Castrop-Rauxel;Landkreis Recklinghausen
44623;Herne;Herne
44625;Herne;Herne
44627;Herne;Herne
44628;Herne;Herne
44629;Herne;Herne
44649;Herne;Herne
44651;Herne;Herne
44652;Herne;Herne
44653;Herne;Herne
44787;Bochum;Bochum
44789;Bochum;Bochum
44791;Bochum;Bochum
44793;Bochum;Bochum
44795;Bochum;Bochum
44797;Bochum;Bochum
44799;Bochum;Bochum
44801;Bochum;Bochum
44803;Bochum;Bochum
44805;Bochum;Bochum
44807;Bochum;Bochum
44809;Bochum;Bochum
44866;Bochum;Bochum
44867;Bochum;Bochum
44869;Bochum;Bochum
44879;Bochum;Bochum
44892;Bochum;Bochum
44894;Bochum;Bochum
45127;Essen;Essen
45128;Essen;Essen
45130;Essen;Essen
45131;Essen;Essen
45133;Essen;Essen
45134;Essen;Essen
45136;Essen;Essen
45138;Essen;Essen
45139;Essen;Essen
45141;Essen;Essen
45143;Essen;Essen
45144;Essen;Essen
45145;Essen;Essen
45147;Essen;Essen
45149;Essen;Essen
45219;Essen;Essen
45239;Essen;Essen
45257;Essen;Essen
45259;Essen;Essen
45276;Essen;Essen
45277;Essen;Essen
45279;Essen;Essen
45289;Essen;Essen
45307;Essen;Essen
45309;Essen;Essen
45326;Essen;Essen
45327;Essen;Essen
45329;Essen;Essen
45355;Essen;Essen
45356;Essen;Essen
45357;Essen;Essen
45359;Essen;Essen
45468;Mülheim an der Ruhr;Mülheim an der Ruhr
45470;Mülheim an der Ruhr;Mülheim an der Ruhr
45472;Mülheim an der Ruhr;Mülheim an der Ruhr
45473;Mülheim an der Ruhr;Mülheim an der Ruhr
45475;Mülheim an der Ruhr;Mülheim an der Ruhr
45476;Mülheim an der Ruhr;Mülheim an der Ruhr
45478;Mülheim an der Ruhr;Mülheim an der Ruhr
45479;Mülheim an der Ruhr;Mülheim an der Ruhr
45481;Mülheim an der Ruhr;Mülheim an der Ruhr
45525;Hattingen;Landkreis Ennepe-Ruhr-Kreis
45527;Hattingen;Landkreis Ennepe-Ruhr-Kreis
45529;Hattingen;Landkreis Ennepe-Ruhr-Kreis
45549;Sprockhövel;Landkreis Ennepe-Ruhr-Kreis
45657;Recklinghausen;Landkreis Recklinghausen
45659;Recklinghausen;Landkreis Recklinghausen
45661;Recklinghausen;Landkreis Recklinghausen
45663;Recklinghausen;Landkreis Recklinghausen
45665;Recklinghausen;Landkreis Recklinghausen
45699;Herten;Landkreis Recklinghausen
45701;Herten;Landkreis Recklinghausen
45711;Datteln;Landkreis Recklinghausen
45721;Haltern am See;Landkreis Recklinghausen
45731;Waltrop;Landkreis Recklinghausen
45739;Oer-Erkenschwick;Landkreis Recklinghausen
45768;Marl;Landkreis Recklinghausen
45770;Marl;Landkreis Recklinghausen
45772;Marl;Landkreis Recklinghausen
45879;Gelsenkirchen;Gelsenkirchen
45881;Gelsenkirchen;Gelsenkirchen
45883;Gelsenkirchen;Gelsenkirchen
45884;Gelsenkirchen;Gelsenkirchen
45886;Gelsenkirchen;Gelsenkirchen
45888;Gelsenkirchen;Gelsenkirchen
45889;Gelsenkirchen;Gelsenkirchen
45891;Gelsenkirchen;Gelsenkirchen
45892;Gelsenkirchen;Gelsenkirchen
45894;Gelsenkirchen;Gelsenkirchen
45896;Gelsenkirchen;Gelsenkirchen
45897;Gelsenkirchen;Gelsenkirchen
45899;Gelsenkirchen;Gelsenkirchen
45964;Gladbeck;Landkreis Recklinghausen
45966;Gladbeck;Landkreis Recklinghausen
45968;Gladbeck;Landkreis Recklinghausen
46045;Oberhausen;Oberhausen
46047;Oberhausen;Oberhausen
46049;Oberhausen;Oberhausen
46117;Oberhausen;Oberhausen
46119;Oberhausen;Oberhausen
46145;Oberhausen;Oberhausen
46147;Oberhausen;Oberhausen
46149;Oberhausen;Oberhausen
46236;Bottrop;Bottrop
46238;Bottrop;Bottrop
46240;Bottrop;Bottrop
46242;Bottrop;Bottrop
46244;Bottrop;Bottrop
46282;Dorsten;Landkreis Recklinghausen
46284;Dorsten;Landkreis Recklinghausen
46286;Dorsten;Landkreis Recklinghausen
46325;Borken;Landkreis Borken
46342;Velen;Landkreis Borken
46348;Raesfeld;Landkreis Borken
46354;Südlohn;Landkreis Borken
46359;Heiden;Landkreis Borken
46395;Bocholt;Landkreis Borken
46397;Bocholt;Landkreis Borken
46399;Bocholt;Landkreis Borken
46414;Rhede;Landkreis Borken
46419;Isselburg;Landkreis Borken
46446;Emmerich am Rhein;Landkreis Kleve
46459;Rees;Landkreis Kleve
46483;Wesel;Landkreis Wesel
46485;Wesel;Landkreis Wesel
46487;Wesel;Landkreis Wesel
46499;Hamminkeln;Landkreis Wesel
46509;Xanten;Landkreis Wesel
46514;Schermbeck;Landkreis Wesel
46519;Alpen;Landkreis Wesel
46535;Dinslaken;Landkreis Wesel
46537;Dinslaken;Landkreis Wesel
46539;Dinslaken;Landkreis Wesel
46562;Voerde (Niederrhein);Landkreis Wesel
46569;Hünxe;Landkreis Wesel
47051;Duisburg;Duisburg
47053;Duisburg;Duisburg
47055;Duisburg;Duisburg
47057;Duisburg;Duisburg
47058;Duisburg;Duisburg
47059;Duisburg;Duisburg
47119;Duisburg;Duisburg
47137;Duisburg;Duisburg
47138;Duisburg;Duisburg
47139;Duisburg;Duisburg
47166;Duisburg;Duisburg
47167;Duisburg;Duisburg
47169;Duisburg;Duisburg
47178;Duisburg;Duisburg
47179;Duisburg;Duisburg
47198;Duisburg;Duisburg
47199;Duisburg;Duisburg
47226;Duisburg;Duisburg
47228;Duisburg;Duisburg
47229;Duisburg;Duisburg
47239;Duisburg;Duisburg
47249;Duisburg;Duisburg
47259;Duisburg;Duisburg
47269;Duisburg;Duisburg
47279;Duisburg;Duisburg
47441;Moers;Landkreis Wesel
47443;Moers;Landkreis Wesel
47445;Moers;Landkreis Wesel
47447;Moers;Landkreis Wesel
47475;Kamp-Lintfort;Landkreis Wesel
47495;Rheinberg;Landkreis Wesel
47506;Neukirchen-Vluyn;Landkreis Wesel
47509;Rheurdt;Landkreis Kleve
47533;Kleve;Landkreis Kleve
47546;Kalkar;Landkreis Kleve
47551;Bedburg-Hau;Landkreis Kleve
47559;Kranenburg;Landkreis Kleve
47574;Goch;Landkreis Kleve
47589;Uedem;Landkreis Kleve
47608;Geldern;Landkreis Kleve
47623;Kevelaer;Landkreis Kleve
47624;Kevelaer;Landkreis Kleve
47625;Kevelaer;Landkreis Kleve
47626;Kevelaer;Landkreis Kleve
47627;Kevelaer;Landkreis Kleve
47638;Straelen;Landkreis Kleve
47647;Kerken;Landkreis Kleve
47652;Weeze;Landkreis Kleve
47661;Issum;Landkreis Kleve
47665;Sonsbeck;Landkreis Wesel
47669;Wachtendonk;Landkreis Kleve
47798;Krefeld;Krefeld
47799;Krefeld;Krefeld
47800;Krefeld;Krefeld
47802;Krefeld;Krefeld
47803;Krefeld;Krefeld
47804;Krefeld;Krefeld
47805;Krefeld;Krefeld
47807;Krefeld;Krefeld
47809;Krefeld;Krefeld
47829;Krefeld;Krefeld
47839;Krefeld;Krefeld
47877;Willich;Landkreis Viersen
47906;Kempen;Landkreis Viersen
47918;Tönisvorst;Landkreis Viersen
47929;Grefrath;Landkreis Viersen
48143;Münster;Münster
48145;Münster;Münster
48147;Münster;Münster
48149;Münster;Münster
48151;Münster;Münster
48153;Münster;Münster
48155;Münster;Münster
48157;Münster;Münster
48159;Münster;Münster
48161;Münster;Münster
48163;Münster;Münster
48165;Münster;Münster
48167;Münster;Münster
48231;Warendorf;Landkreis Warendorf
48249;Dülmen;Landkreis Coesfeld
48268;Greven;Landkreis Steinfurt
48282;Emsdetten;Landkreis Steinfurt
48291;Telgte;Landkreis Warendorf
48301;Nottuln;Landkreis Coesfeld
48308;Senden;Landkreis Coesfeld
48317;Drensteinfurt;Landkreis Warendorf
48324;Sendenhorst;Landkreis Warendorf
48329;Havixbeck;Landkreis Coesfeld
48336;Sassenberg;Landkreis Warendorf
48341;Altenberge;Landkreis Steinfurt
48346;Ostbevern;Landkreis Warendorf
48351;Everswinkel;Landkreis Warendorf
48356;Nordwalde;Landkreis Steinfurt
48361;Beelen;Landkreis Warendorf
48366;Laer;Landkreis Steinfurt
48369;Saerbeck;Landkreis Steinfurt
48429;Rheine;Landkreis Steinfurt
48431;Rheine;Landkreis Steinfurt
48432;Rheine;Landkreis Steinfurt
48477;Hörstel;Landkreis Steinfurt
48485;Neuenkirchen;Landkreis Steinfurt
48493;Wettringen;Landkreis Steinfurt
48496;Hopsten;Landkreis Steinfurt
48565;Steinfurt;Landkreis Steinfurt
48599;Gronau (Westf.);Landkreis Borken
48607;Ochtrup;Landkreis Steinfurt
48612;Horstmar;Landkreis Steinfurt
48619;Heek;Landkreis Borken
48624;Schöppingen;Landkreis Borken
48629;Metelen;Landkreis Steinfurt
48653;Coesfeld;Landkreis Coesfeld
48683;Ahaus;Landkreis Borken
48691;Vreden;Landkreis Borken
48703;Stadtlohn;Landkreis Borken
48712;Gescher;Landkreis Borken
48720;Rosendahl;Landkreis Coesfeld
48727;Billerbeck;Landkreis Coesfeld
48734;Reken;Landkreis Borken
48739;Legden;Landkreis Borken
49477;Ibbenbüren;Landkreis Steinfurt
49479;Ibbenbüren;Landkreis Steinfurt
49492;Westerkappeln;Landkreis Steinfurt
49497;Mettingen;Landkreis Steinfurt
49504;Lotte;Landkreis Steinfurt
49509;Recke;Landkreis Steinfurt
49525;Lengerich;Landkreis Steinfurt
49536;Lienen;Landkreis Steinfurt
49545;Tecklenburg;Landkreis Steinfurt
49549;Ladbergen;Landkreis Steinfurt
50126;Bergheim;Landkreis Rhein-Erft-Kreis
50127;Bergheim;Landkreis Rhein-Erft-Kreis
50129;Bergheim;Landkreis Rhein-Erft-Kreis
50169;Kerpen;Landkreis Rhein-Erft-Kreis
50170;Kerpen;Landkreis Rhein-Erft-Kreis
50171;Kerpen;Landkreis Rhein-Erft-Kreis
50181;Bedburg;Landkreis Rhein-Erft-Kreis
50189;Elsdorf;Landkreis Rhein-Erft-Kreis
50226;Frechen;Landkreis Rhein-Erft-Kreis
50259;Pulheim;Landkreis Rhein-Erft-Kreis
50321;Brühl;Landkreis Rhein-Erft-Kreis
50354;Hürth;Landkreis Rhein-Erft-Kreis
50374;Erftstadt;Landkreis Rhein-Erft-Kreis
50389;Wesseling;Landkreis Rhein-Erft-Kreis
50667;Köln;Köln
50668;Köln;Köln
50670;Köln;Köln
50672;Köln;Köln
50674;Köln;Köln
50676;Köln;Köln
50677;Köln;Köln
50678;Köln;Köln
50679;Köln;Köln
50733;Köln;Köln
50735;Köln;Köln
50737;Köln;Köln
50739;Köln;Köln
50765;Köln;Köln
50767;Köln;Köln
50769;Köln;Köln
50823;Köln;Köln
50825;Köln;Köln
50827;Köln;Köln
50829;Köln;Köln
50858;Köln;Köln
50859;Köln;Köln
50931;Köln;Köln
50933;Köln;Köln
50935;Köln;Köln
50937;Köln;Köln
50939;Köln;Köln
50968;Köln;Köln
50969;Köln;Köln
50996;Köln;Köln
50997;Köln;Köln
50999;Köln;Köln
51061;Köln;Köln
51063;Köln;Köln
51065;Köln;Köln
51067;Köln;Köln
51069;Köln;Köln
51103;Köln;Köln
51105;Köln;Köln
51107;Köln;Köln
51109;Köln;Köln
51143;Köln;Köln
51145;Köln;Köln
51147;Köln;Köln
51149;Köln;Köln
51371;Leverkusen;Leverkusen
51373;Leverkusen;Leverkusen
51375;Leverkusen;Leverkusen
51377;Leverkusen;Leverkusen
51379;Leverkusen;Leverkusen
51381;Leverkusen;Leverkusen
51399;Burscheid;Landkreis Rheinisch-Bergischer Kreis
51427;Bergisch Gladbach;Landkreis Rheinisch-Bergischer Kreis
51429;Bergisch Gladbach;Landkreis Rheinisch-Bergischer Kreis
51465;Bergisch Gladbach;Landkreis Rheinisch-Bergischer Kreis
51467;Bergisch Gladbach;Landkreis Rheinisch-Bergischer Kreis
51469;Bergisch Gladbach;Landkreis Rheinisch-Bergischer Kreis
51491;Overath;Landkreis Rheinisch-Bergischer Kreis
51503;Rösrath;Landkreis Rheinisch-Bergischer Kreis
51515;Kürten;Landkreis Rheinisch-Bergischer Kreis
51519;Odenthal;Landkreis Rheinisch-Bergischer Kreis
51545;Waldbröl;Landkreis Oberbergischer Kreis
51570;Windeck;Landkreis Rhein-Sieg-Kreis
51580;Reichshof;Landkreis Oberbergischer Kreis
51588;Nümbrecht;Landkreis Oberbergischer Kreis
51597;Morsbach;Landkreis Oberbergischer Kreis
51643;Gummersbach;Landkreis Oberbergischer Kreis
51645;Gummersbach;Landkreis Oberbergischer Kreis
51647;Gummersbach;Landkreis Oberbergischer Kreis
51674;Wiehl;Landkreis Oberbergischer Kreis
51688;Wipperfürth;Landkreis Oberbergischer Kreis
51702;Bergneustadt;Landkreis Oberbergischer Kreis
51709;Marienheide;Landkreis Oberbergischer Kreis
51766;Engelskirchen;Landkreis Oberbergischer Kreis
51789;Lindlar;Landkreis Oberbergischer Kreis
52062;Aachen;Städteregion Aachen
52064;Aachen;Städteregion Aachen
52066;Aachen;Städteregion Aachen
52068;Aachen;Städteregion Aachen
52070;Aachen;Städteregion Aachen
52072;Aachen;Städteregion Aachen
52074;Aachen;Städteregion Aachen
52076;Aachen;Städteregion Aachen
52078;Aachen;Städteregion Aachen
52080;Aachen;Städteregion Aachen
52134;Herzogenrath;Städteregion Aachen
52146;Würselen;Städteregion Aachen
52152;Simmerath;Städteregion Aachen
52156;Monschau;Städteregion Aachen
52159;Roetgen;Städteregion Aachen
52222;Stolberg (Rhld.);Städteregion Aachen
52223;Stolberg (Rhld.);Städteregion Aachen
52224;Stolberg (Rhld.);Städteregion Aachen
52249;Eschweiler;Städteregion Aachen
52349;Düren;Landkreis Düren
52351;Düren;Landkreis Düren
52353;Düren;Landkreis Düren
52355;Düren;Landkreis Düren
52372;Kreuzau;Landkreis Düren
52379;Langerwehe;Landkreis Düren
52382;Niederzier;Landkreis Düren
52385;Nideggen;Landkreis Düren
52388;Nörvenich;Landkreis Düren
52391;Vettweiß;Landkreis Düren
52393;Hürtgenwald;Landkreis Düren
52396;Heimbach;Landkreis Düren
52399;Merzenich;Landkreis Düren
52428;Jülich;Landkreis Düren
52441;Linnich;Landkreis Düren
52445;Titz;Landkreis Düren
52457;Aldenhoven;Landkreis Düren
52459;Inden;Landkreis Düren
52477;Alsdorf;Städteregion Aachen
52499;Baesweiler;Städteregion Aachen
52511;Geilenkirchen;Landkreis Heinsberg
52525;Heinsberg;Landkreis Heinsberg
52531;Übach-Palenberg;Landkreis Heinsberg
52538;Gangelt;Landkreis Heinsberg
53111;Bonn;Bonn
53113;Bonn;Bonn
53115;Bonn;Bonn
53117;Bonn;Bonn
53119;Bonn;Bonn
53121;Bonn;Bonn
53123;Bonn;Bonn
53125;Bonn;Bonn
53127;Bonn;Bonn
53129;Bonn;Bonn
53173;Bonn;Bonn
53175;Bonn;Bonn
53177;Bonn;Bonn
53179;Bonn;Bonn
53225;Bonn;Bonn
53227;Bonn;Bonn
53229;Bonn;Bonn
53332;Bornheim;Landkreis Rhein-Sieg-Kreis
53340;Meckenheim;Landkreis Rhein-Sieg-Kreis
53343;Wachtberg;Landkreis Rhein-Sieg-Kreis
53347;Alfter;Landkreis Rhein-Sieg-Kreis
53359;Rheinbach;Landkreis Rhein-Sieg-Kreis
53604;Bad Honnef;Landkreis Rhein-Sieg-Kreis
53639;Königswinter;Landkreis Rhein-Sieg-Kreis
53721;Siegburg;Landkreis Rhein-Sieg-Kreis
53757;Sankt Augustin;Landkreis Rhein-Sieg-Kreis
53773;Hennef (Sieg);Landkreis Rhein-Sieg-Kreis
53783;Eitorf;Landkreis Rhein-Sieg-Kreis
53797;Lohmar;Landkreis Rhein-Sieg-Kreis
53804;Much;Landkreis Rhein-Sieg-Kreis
53809;Ruppichteroth;Landkreis Rhein-Sieg-Kreis
53819;Neunkirchen-Seelscheid;Landkreis Rhein-Sieg-Kreis
53840;Troisdorf;Landkreis Rhein-Sieg-Kreis
53842;Troisdorf;Landkreis Rhein-Sieg-Kreis
53844;Troisdorf;Landkreis Rhein-Sieg-Kreis
53859;Niederkassel;Landkreis Rhein-Sieg-Kreis
53879;Euskirchen;Landkreis Euskirchen
53881;Euskirchen;Landkreis Euskirchen
53894;Mechernich;Landkreis Euskirchen
53902;Bad Münstereifel;Landkreis Euskirchen
53909;Zülpich;Landkreis Euskirchen
